Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	0ce018eb-be17-4784-b478-27dfbb1c52fe	Detection		NeuN: Ignore*	Root object (Image)	Polygon	372.5	625.78	3101.9043	611.3475	4035.124	1158.4976	0.6096	45.9216
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	42c2d8b4-4b8b-4f16-b0c5-06d934b9e1f0	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	568.41	910.18	5593.9683	516.9437	4633.9966	1156.5917	0.5381	53.6901
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	c9961697-1061-42e0-b51b-0718cda9c84d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	459.18	854.8	3048.3591	765.7336	2855.5059	1070.9797	0.6351	46.5976
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	0157dc8c-7aa9-4c69-9b6b-51e500b677f6	Detection		NeuN: Ignore*	Root object (Image)	Polygon	454.73	556.72	2128.7351	460.004	2404.4387	1044.7678	0.6264	47.2336
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	ad145937-a49d-452f-a951-08db8ae700f5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	434.79	772.69	2986.5293	706.4669	3987.6304	1034.5021	0.6326	44.3012
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	9fc1d137-95ee-4548-a11a-0fa1f509f70c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	615.03	927.88	2374.5459	548.8406	3007.4143	1030.5139	0.6453	42.8337
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	3dafd73c-7888-42b7-b4ea-24720b80d487	Detection		NeuN: Ignore*	Root object (Image)	Polygon	730.4	426.71	2177.9177	436.5473	5074.7817	1000.2519	0.6516	39.3001
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	8f408608-8717-42f7-8d8b-a3f4d0ee5892	Detection		NeuN: Ignore*	Root object (Image)	Polygon	478.09	900.19	2728.1943	536.6627	5096.1904	997.3619	0.5728	49.3578
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	e25287a3-11b6-4f16-b593-dcf5f851e268	Detection		NeuN: Ignore*	Root object (Image)	Polygon	416.65	702.62	2938.1799	723.0753	2922.4392	988.606	0.6571	44.3203
DRG C F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG C F1_coupe 4	2f060c5c-80c6-45ac-b5b0-02e7f0a35155	Detection		NeuN: Ignore*	Root object (Image)	Polygon	597.54	568.53	3689.2991	686.0342	2820.6624	957.6223	0.5428	51.3078
