Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	11c7fd04-d27a-4530-8ac6-bded6fb6dbe1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	521.58	1027.5	2498.231	485.9515	5708.6719	1749.6309	0.634	57.9731
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	91110308-a777-4cd7-a9a2-3e8dd8213e87	Detection		NeuN: Ignore*	Root object (Image)	Polygon	534.44	420.34	2304.4277	470.6062	7909.5327	1438.6199	0.6716	46.5439
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d4f6ca36-f020-4f7d-b75f-a95b466cf684	Detection		NeuN: Ignore*	Root object (Image)	Polygon	449.2	840.17	2242.655	540.9362	5585.7275	1407.6306	0.6724	48.1689
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	72ee3bd3-6112-46f9-a11e-41c15d4a6175	Detection		NeuN: Ignore*	Root object (Image)	Polygon	423.2	443.01	2986.0923	408.4179	5963.9653	1399.7222	0.6416	51.6441
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	0a1f10be-8b17-4c47-8fef-7549a9472909	Detection		NeuN: Ignore*	Root object (Image)	Polygon	376.54	594.9	2183.0437	488.5131	6229.8486	1390.6028	0.6359	51.7422
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	59b12800-96e2-4023-b9b0-943129863c6c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	410.38	609.14	2925.155	474.5585	6541.2749	1369.4928	0.6252	52.023
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	005270ed-a039-4af0-8615-7371f0962f1d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	693.62	467.24	2312.1765	377.4353	6488.9116	1369.126	0.6554	47.1266
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	8182b792-e4a0-41f9-8411-a4ab4b94324e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	873.68	651.52	2906.3735	544.4241	5071.0127	1309.9989	0.6809	48.0886
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	7c744000-4d7f-4e75-b94f-53272ea3517a	Detection		NeuN: Ignore*	Root object (Image)	Polygon	660.99	604.13	2750.8662	330.7538	9118.8232	1303.7281	0.6558	49.912
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	1769e401-f7f3-4bf5-bba1-b4be9572e0c5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	356.85	637.15	2102.3618	461.7556	7562.7651	1283.0247	0.6536	47.3653
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	8a970a24-86af-45e8-84f5-de1814af2341	Detection		NeuN: Ignore*	Root object (Image)	Polygon	627.65	388.26	2521.604	419.4481	6742.708	1273.6057	0.6952	48.0776
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	32ec6d5b-76a9-4a20-a1db-6624fbf1c347	Detection		NeuN: Ignore*	Root object (Image)	Polygon	548.63	551.86	2230.8413	463.2071	5223.877	1255.1366	0.662	44.9551
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	48f4b2bc-2cc8-452b-87a7-1648a51393d1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	428.57	757.3	2259.7434	447.0493	4860.7202	1250.2354	0.7059	43.6608
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	68437165-f86d-4780-92e0-8eea4d1bdb58	Detection		NeuN: Ignore*	Root object (Image)	Polygon	727.42	380.57	2072.583	356.2345	7153.6089	1244.2468	0.6486	53.2348
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	25e06e31-532d-47c6-8fd3-d56de7e6d6f2	Detection		NeuN: Ignore*	Root object (Image)	Polygon	629.53	517.52	1876.2059	387.5947	5320.7939	1233.0106	0.6546	47.1834
DRG L F2_NeuN_IB4_Td-tomato_DAPI.lif - DRG L F2_coupe 1	d6ac7228-9ebc-4c51-ae26-d9403825213e	Detection		NeuN: Ignore*	Root object (Image)	Polygon	560.34	363.69	1779.7349	397.8725	5758.124	1200.8901	0.6309	46.9551
