Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	012d389f-3148-4200-9e99-15e14bb1c17b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	997.3	693.68	2819.4482	439.0271	5355.0195	1666.7267	0.5372	67.5275
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	0e6729ec-d5b9-4715-845c-26635e4ef536	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1011.1	615.34	1944.2458	449.0084	5926.377	1444.7577	0.6062	51.8996
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	30857cd7-1906-4d7a-89d7-5a486a1c54e5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	1019.1	658.13	2662.2485	444.9971	4557.8179	1394.8713	0.6004	50.4756
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	6e34b6d3-e259-4b8e-a99d-ee803bec22f2	Detection		NeuN: Ignore*	Root object (Image)	Polygon	983.9	732.04	1797.1754	482.038	3741.5117	1378.9902	0.4175	59.2777
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	c829509f-4993-4be2-9140-90ce58c24e9d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	555.95	773.58	1869.5851	722.0743	3191.3467	1363.3817	0.6431	51.1322
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	9b7ee77d-7d31-44b5-938f-90f1ad372b35	Detection		NeuN: Ignore*	Root object (Image)	Polygon	560.32	639.58	1439.4369	394.12	5785.0952	1319.0239	0.6163	52.1659
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	bbb81a6d-c848-4c2f-9640-e89122d00583	Detection		NeuN: Ignore*	Root object (Image)	Polygon	255.6	595.93	2917.2866	672.5223	5743.4268	1282.7501	0.5567	52.906
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	a1514548-857a-41b9-b98f-3f82f5dd5bb5	Detection		NeuN: Ignore*	Root object (Image)	Polygon	592.23	875.59	3965.1257	401.0742	3485.3999	1253.8778	0.5372	52.2793
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	377185e0-79bf-4194-a104-9af231041e8b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	338.91	568.11	2223.9934	564.759	4521.8208	1227.6365	0.6401	49.6204
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	b7513e3a-532b-4527-b170-d00ebcfc0c85	Detection		NeuN: Ignore*	Root object (Image)	Polygon	985.5	575.2	2764.4675	438.5097	7613.9482	1228.1296	0.4216	69.7656
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	fadc4e38-3277-4ad5-a0a3-f8dde87c6797	Detection		NeuN: Ignore*	Root object (Image)	Polygon	591.27	717.88	2988.2622	454.8197	5067.3442	1216.4955	0.5707	57.3875
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	cdc75286-ad97-4648-b2f9-f9e803a26527	Detection		NeuN: Ignore*	Root object (Image)	Polygon	632.74	385.09	1742.3673	430.636	3386.2178	1187.7599	0.6507	45.1247
DRG L M3_NeuN_IB4_Td-tomato_DAPI.lif - DRG L M3_coupe 2	1c06c917-6736-4b9a-95a4-862400de023c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	652.48	320.52	2264.0554	589.9515	5671.8721	1161.0121	0.646	44.4612
