Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	37ab237f-0fa0-4af5-ae8f-67ae7adc93be	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	48.75	451.74	8817.5195	363.9144	1500.1698	2814.2725	0.4049	100.8818
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ecc39c00-94f9-4d72-9f8a-1219859c6ff2	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	416.13	491.54	4084.1287	523.6495	2822.3794	1287.6237	0.54	55.1213
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	df3918c9-f124-4c26-8a00-721fd8ef53eb	Detection		NeuN: Ignore*	Root object (Image)	Polygon	235.3	116.31	3741.5703	637.2333	5672.0073	1074.3669	0.6238	43.1273
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	4020726e-03a4-42e2-8020-20a642f98db1	Detection		NeuN: Ignore*	Root object (Image)	Polygon	262.08	93.65	3546.9041	609.1125	3167.6375	972.5132	0.4848	54.0218
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ef128e9a-6df4-4a03-a514-e4fedf75e8aa	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	185.54	476.07	4553.9634	745.9725	3079.7844	885.7471	0.625	40.0258
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	e133039c-f926-4980-9c2b-f2288a0f5aa9	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	262.83	512.71	5352.6782	804.1122	4585.5952	847.6035	0.683	38.0178
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	8a36ccf7-6861-4b5a-aa4e-18bf98655440	Detection		NeuN: IB4: TREK1	Root object (Image)	Polygon	135.91	338.89	5701.0195	13140	2077.3979	831.2396	0.6319	40.4766
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ced8edbb-3210-4d59-a877-3157481b8b39	Detection		NeuN: Ignore*	Root object (Image)	Polygon	574.7	471.85	3616.5806	582.7756	6487.4194	830.0071	0.6102	40.0318
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	d7b85cdb-7c4f-41bc-88f1-0a4ff8338bc6	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	174.59	232.93	6186.7837	543.098	4141.0103	765.2536	0.6156	36.6997
DRG T F1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T F1_coupe 4	ad0a8708-eec2-4ecd-8f31-5d1e3a839c2c	Detection		NeuN: Ignore*	Root object (Image)	Polygon	354.01	71.56	2632.8901	448.5439	7167.5771	731.754	0.4286	45.2764
