Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ROI: 2.00 µm per pixel: Channel 2: Mean	ROI: 2.00 µm per pixel: Channel 3: Mean	ROI: 2.00 µm per pixel: Channel 4: Mean	Area µm^2	Circularity	Max diameter µm
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	0f1be4ce-b460-49be-832d-5e01c408ffe4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	490.23	436.75	1986.5437	530.1327	4657.3979	1256.0137	0.6119	52.6499
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	b9b02d0a-7bc0-41f8-9666-5c6580aec0c4	Detection		NeuN: Ignore*	Root object (Image)	Polygon	181.79	301.92	2811.7605	532.7217	7785.1133	1253.9846	0.688	46.6474
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	f5440208-d589-4d4a-9c9b-53516921e41d	Detection		NeuN: Ignore*	Root object (Image)	Polygon	507.32	400.78	1844.155	554.5978	3058.2546	1089.2405	0.6781	43.4653
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	6237238c-6562-4093-b7c9-b63b27bc5c71	Detection		NeuN: Ignore*	Root object (Image)	Polygon	389.37	415.9	1708.2644	472.9042	6264.4136	1069.9969	0.6103	42.939
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	cf594ba2-b4f2-4c42-9165-7a3f0c4a5f65	Detection		NeuN: Ignore*	Root object (Image)	Polygon	437.5	376.6	1536.4199	456.2597	3441.8701	928.4992	0.6329	43.6808
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	368c933c-245c-4a9e-8ef9-7838700c82d0	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	162.46	205.56	4968.7891	419.867	7981.8809	885.4991	0.4457	54.2594
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	0bb5521f-807f-4f44-8da5-47f62f7daef3	Detection		NeuN: Ignore*	Root object (Image)	Polygon	250.02	154.32	2064.4214	710.4352	5645.3706	869.7491	0.5957	44.9247
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	32269de6-b775-429a-b690-8fcd9988628b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	449.09	335.64	2197.8701	480.0865	5929.4424	847.2689	0.6761	40.0671
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	8ca88a09-d17b-421a-811d-708c6a0b8ab5	Detection		NeuN: IB4: Ignore*	Root object (Image)	Polygon	441.02	284.02	4258.7939	469.7647	7036.7451	828.0197	0.5821	41.0011
DRG T M1_NeuN_IB4_Td-tomato_DAPI.lif - DRG T M1_coupe 1	550b3443-583d-4eeb-a1e6-47756fdbc20b	Detection		NeuN: Ignore*	Root object (Image)	Polygon	413.27	312.27	1795.4596	461.2879	4556.7271	820.9944	0.6484	40.1701
